idx;dE
0_1;49.64692007075324
0_2;38.54861579040021
0_3;48.95241654231782
0_4;41.72039426710139
0_5;47.13833007997702
0_6;43.33211171094818
0_7;27.97581297426683
0_8;51.588773902317186
0_9;52.20640558122807
0_10;16.759130847992683
0_11;50.55889194409529
0_12;45.50106976486921
0_13;32.43152378593185
0_14;46.75744473768754
0_15;11.189718417914696
0_16;25.8956328475745
0_17;46.479326496168085
0_18;28.948440981035603
0_19;41.87394774332702
0_20;37.31356136584357
0_21;37.71861124352576
0_22;49.78331295357766
0_23;17.349672925799354
0_24;48.51748608931844
0_25;22.439804919350387
0_26;42.84756428509638
0_27;50.141842436500724
0_28;42.460376642377355
0_29;36.16437227643188
0_30;31.202051309801185
0_31;43.90863031273717
0_32;17.66883563948798
0_33;41.30960652064613
0_34;51.07531884411406
0_35;47.76154682572083
0_36;51.776461460928765
0_37;31.463788559654898
0_38;34.68531186389312
0_39;45.68954004362319
0_40;35.795043750269066
0_41;19.055778310963298
0_42;35.58622274781229
0_43;29.75769252971178
0_44;45.41037401737126
0_45;44.775297970027445
0_46;40.053215955793064
0_47;48.08043823800552
0_48;42.10239288066912
0_49;31.582936652090673
0_50;48.01830397968834
1_1;25.7144721146923
1_2;22.060244900011213
1_3;52.34359989463654
1_4;29.5804110950653
1_5;51.98212663556034
1_6;34.98990226194229
1_7;18.814173496326433
1_8;43.42989247901811
1_9;22.694086058206032
1_10;25.687114330591093
1_11;48.98603608755835
1_12;25.3540934164527
1_13;47.17762824425873
1_14;19.01807677103584
1_15;50.67307241427263
1_16;34.842797651272484
1_17;45.86818734051023
1_18;21.99411596240148
1_19;38.31172288865255
1_20;37.37016980705971
1_21;39.40822337437404
1_22;34.720528033487895
1_23;17.928174834403386
1_24;16.992275424596194
1_25;11.32207608215631
1_26;26.743508984632935
1_27;40.36286752830893
1_28;22.13865100575117
1_29;39.02762492552322
1_30;21.270910616472896
1_31;50.774370745373
1_32;38.84082299448315
1_33;27.11046752151993
1_34;35.43479290671407
1_35;7.629791829156383
1_36;31.721774365957515
1_37;21.681361574978432
1_38;46.24849577751546
1_39;14.502785676339059
1_40;34.0050345079266
1_41;47.03680410516989
1_42;24.641153866176815
1_43;12.402148800107925
1_44;32.382034667764046
1_45;22.74077172853308
1_46;44.99001276160439
1_47;13.699558889874616
1_48;48.990167976756354
1_49;9.617804320274194
1_50;15.822411297159778
2_1;36.15947325912618
2_2;46.726924888947266
2_3;24.543591386592823
2_4;16.66622103156599
2_5;38.07216063056261
2_6;32.95294325546456
2_7;15.890635804234464
2_8;28.448491743297804
2_9;42.70639712124394
2_10;50.1284332866506
2_11;37.906934957153474
2_12;40.25149050597236
2_13;50.33282926965681
2_14;46.2934320215481
2_15;29.10765124745383
2_16;40.309467927835996
2_17;48.65602131771194
2_18;32.39620470890799
2_19;30.93931928813301
2_20;17.55968515970792
2_21;8.36999872973216
2_22;51.58723652769485
2_23;48.79201504444779
2_24;48.533471043302576
2_25;25.10511045099132
2_26;46.83520533319054
2_27;35.95317192947845
2_28;34.3429544393707
2_29;48.134642387469455
2_30;22.22967418597802
2_31;44.401397859287805
2_32;25.595461232161988
2_33;32.88791511550532
2_34;20.575278224724503
2_35;27.248825000717734
2_36;34.51652496975635
2_37;19.73218884232187
2_38;34.20408242302749
2_39;30.193914003185107
2_40;50.06817630931244
2_41;36.06625472041224
2_42;42.01288524621603
2_43;27.47400516599166
2_44;46.56437169028733
2_45;36.729761283845264
2_46;47.86833043463199
2_47;43.808894303514684
2_48;51.40146367094559
2_49;42.540401201320144
2_50;45.573563371047335
3_1;35.89697511797864
3_2;50.976097372036975
3_3;48.60575883462255
3_4;42.36345343621644
3_5;47.91072205860006
3_6;50.10915841334277
3_7;25.55910996244036
3_8;30.0897405008843
3_9;52.29306611014321
3_10;43.09188211377269
3_11;37.13438705818336
3_12;46.65039294577939
3_13;35.894128012440696
3_14;21.648583999612217
3_15;52.600865348935585
3_16;26.370223200060845
3_17;24.439932421437437
3_18;35.35767158463418
3_19;37.796443562388404
3_20;42.0360487729804
3_21;22.001119904392965
3_22;32.06428459242009
3_23;36.86723313547157
3_24;37.79545502738782
3_25;29.246011845058582
3_26;38.24089763018832
3_27;28.759599611855524
3_28;42.017251015934676
3_29;29.54523546476077
3_30;24.58427412355673
3_31;34.32450282549553
3_32;24.03522556851886
3_33;51.38385714535167
3_34;51.82956169433528
3_35;30.39639216592207
3_36;41.78814165791396
3_37;27.17960572182858
3_38;51.62870198480115
3_39;44.310312310922114
3_40;42.80860602717134
3_41;39.09286511715451
3_42;43.11293136063045
3_43;45.44807243889177
3_44;35.9861085435987
3_45;33.07511308422702
3_46;20.769321096683647
3_47;46.36116693873291
3_48;27.99829356991092
3_49;37.41745109311265
3_50;46.36763451473039
4_1;33.71113089046729
4_2;38.4109350055088
4_3;50.94765438231999
4_4;39.380095343758185
4_5;51.17486463051309
4_6;21.49842958695324
4_7;47.03237284890546
4_8;25.04711120027909
4_9;45.72690479560092
4_10;46.887479188757446
4_11;50.41902515593761
4_12;9.449594331421666
4_13;49.45039494686835
4_14;32.71997642805673
4_15;29.907990389090088
4_16;28.968230391488838
4_17;23.590849460892493
4_18;35.81812931685987
4_19;47.809511042894044
4_20;42.67274639193398
4_21;20.153180016291007
4_22;51.78621271943606
4_23;28.310355670992866
4_24;46.547463687848406
4_25;40.33198906277034
4_26;4.162746991162286
4_27;49.51294707171573
4_28;27.452241803944204
4_29;22.02938202650732
4_30;29.924249762885108
4_31;38.03213275905651
4_32;44.27273862567928
4_33;50.96397612425385
4_34;47.81523643803937
4_35;41.89143265105021
4_36;49.55873464084353
4_37;38.17678630186999
4_38;35.440377973547
4_39;15.823855119573873
4_40;29.098972720934555
4_41;40.22115152483471
4_42;38.53835623156139
4_43;28.189398902530815
4_44;51.11276155626534
4_45;45.835422238771784
4_46;31.655620481092253
4_47;44.694534348639415
4_48;35.03573348876726
4_49;31.235658381413945
4_50;51.87609456272217
5_1;28.243752735527963
5_2;40.46352658598621
5_3;27.99151103481231
5_4;35.32432957761147
5_5;41.60703705635672
5_6;36.61375342719998
5_7;33.291670854306616
5_8;38.39948421521817
5_9;51.52328735653749
5_10;48.69275926989435
5_11;13.693764889776585
5_12;39.87402917450508
5_13;46.72350087812507
5_14;52.19987875549869
5_15;39.890541139262396
5_16;51.25306803980182
5_17;17.07540591685312
5_18;40.486471824264655
5_19;39.99456807643693
5_20;46.896379122169606
5_21;41.35292119306899
5_22;48.571415818971495
5_23;44.8146740944827
5_24;40.970663751725084
5_25;32.69671311227023
5_26;41.21284235323926
5_27;51.21642052142072
5_28;51.343988312599606
5_29;37.851396129518406
5_30;33.38862212613001
5_31;34.36270954734758
5_32;37.41016961290333
5_33;23.856528377120753
5_34;36.61171398906
5_35;48.62835792973042
5_36;46.00716538268947
5_37;40.56735394511647
5_38;33.86649616112617
5_39;11.620139654476107
5_40;22.246257874094994
5_41;46.914475237653406
5_42;47.17034052723553
5_43;42.69816764532428
5_44;29.186475219724006
5_45;27.102247400821103
5_46;17.548727077714123
5_47;43.61820371901807
5_48;34.73831542668444
5_49;49.85203952416999
5_50;36.77207494763979
6_1;28.51991261748792
6_2;42.36176949646783
6_3;27.177126588309783
6_4;31.702502611056644
6_5;46.808156271376575
6_6;21.03276411513458
6_7;52.15536973321708
6_8;38.99303243731682
6_9;45.27157996120158
6_10;50.81874879456306
6_11;50.93434190308506
6_12;45.79376344043506
6_13;37.38012064361128
6_14;36.992970421775546
6_15;34.4579737610154
6_16;30.077896791319002
6_17;46.42699650927623
6_18;47.63331169545639
6_19;44.25827545428278
6_20;40.26245794318699
6_21;38.80404762141742
6_22;24.748592340545777
6_23;40.284570566811944
6_24;47.03778640335659
6_25;39.827075321181034
6_26;26.427486506734787
6_27;18.449572475087514
6_28;27.691570181513487
6_29;46.14191798346245
6_30;51.662661436398345
6_31;40.454664073457366
6_32;41.971610011933166
6_33;44.74955552072214
6_34;51.20562771499485
6_35;48.72354730163163
6_36;36.6109032032551
6_37;37.087105772130414
6_38;31.5605776743173
6_39;39.35952321316254
6_40;41.98629459022253
6_41;46.61856960293738
6_42;38.23392487226625
6_43;47.409896548511576
6_44;50.29080249930095
6_45;29.216468057691106
6_46;30.559400651995517
6_47;41.72563630917071
6_48;36.37810476982213
6_49;51.143992401788374
6_50;31.402858006417297
7_1;32.479762422915954
7_2;43.032822604700215
7_3;47.91704930628516
7_4;41.27292469978867
7_5;16.747951359106008
7_6;29.840059012267943
7_7;38.2042563486211
7_8;33.58099976878218
7_9;40.62982810979031
7_10;34.7666898114487
7_11;36.65780716206809
7_12;22.87099640242644
7_13;23.74066084878786
7_14;39.672951176485036
7_15;50.52504475514802
7_16;20.400585067839785
7_17;38.289173688055726
7_18;46.47237868550155
7_19;46.93701196462245
7_20;35.07905751641095
7_21;46.39833211266636
7_22;27.403922088379606
7_23;42.69972996720217
7_24;28.283509305630133
7_25;21.864861113067047
7_26;36.54099787483874
7_27;47.665163103960865
7_28;16.017467651375043
7_29;8.168633838273449
7_30;51.40158217040938
7_31;31.23047247066958
7_32;49.60496190535011
7_33;36.374852271381734
7_34;51.97147727585378
7_35;52.37093896829611
7_36;25.534502613261907
7_37;47.574242831163104
7_38;43.965160793779766
7_39;41.79277561062962
7_40;31.397466280814765
7_41;28.523296089019873
7_42;52.567432908111584
7_43;13.192456026612115
7_44;46.58090860230018
7_45;50.11433808727324
7_46;41.975489310168875
7_47;49.863593221889694
7_48;46.790771152675546
7_49;49.30662391321941
7_50;44.300648367809195
8_1;42.62729561075592
8_2;37.89133980403709
8_3;27.64832099563641
8_4;40.00395136292508
8_5;33.4842418381892
8_6;27.671868086454626
8_7;30.533427440576517
8_8;34.49785818580217
8_9;39.67022257041087
8_10;35.14845766290273
8_11;48.292982618350905
8_12;29.852364246060635
8_13;39.603759963258355
8_14;49.720960406774566
8_15;45.3235638049229
8_16;26.275601378223058
8_17;46.29758885800164
8_18;30.868441016750776
8_19;48.3562052006908
8_20;42.27470045624329
8_21;45.37828872834614
8_22;34.49599649685787
8_23;46.39936742377107
8_24;42.6702454295666
8_25;29.256636257509605
8_26;51.00012469752424
8_27;31.27535570178421
8_28;38.15996249641849
8_29;32.59037855395871
8_30;49.319240987706316
8_31;34.85113938984204
8_32;50.28485569726277
8_33;41.79931490998675
8_34;26.391341051871336
8_35;36.45409099177519
8_36;19.040997062058736
8_37;29.06469519182929
8_38;9.874009516212993
8_39;8.975696265276419
8_40;28.548879499571147
8_41;22.216848178226023
8_42;41.52320492253788
8_43;40.936083737146454
8_44;13.761228505557447
8_45;14.263064379495091
8_46;49.454211876965225
8_47;22.915542845591347
8_48;52.00596373822415
8_49;42.93235688825334
8_50;24.299753792585566
9_1;31.703347699337886
9_2;38.48283611436797
9_3;40.69475334232048
9_4;49.92896438661255
9_5;37.0689192228453
9_6;35.04264699695743
9_7;47.81846710763116
9_8;21.455648162117438
9_9;26.775871811875874
9_10;9.123324768312466
9_11;47.9267381966536
9_12;50.26084396381022
9_13;46.11670254493033
9_14;12.713687008823632
9_15;35.544997408040494
9_16;26.94965127552662
9_17;30.408766004667488
9_18;35.01093903517229
9_19;15.004110131538237
9_20;36.77131405634596
9_21;32.94409945337736
9_22;22.099203157936252
9_23;46.37391186790442
9_24;36.21582287256614
9_25;37.297248979130536
9_26;41.72714249972365
9_27;37.903579551284004
9_28;20.76144400074844
9_29;16.56490087161702
9_30;25.702541089732623
9_31;34.15199567187709
9_32;9.486132705559799
9_33;49.78033487494816
9_34;49.97885577927586
9_35;48.22088504985439
9_36;48.27122237471038
9_37;35.42804467409183
9_38;18.614034138795883
9_39;29.375678324109348
9_40;52.73877689594071
9_41;38.31334446026233
9_42;34.793801241401496
9_43;33.95384273956852
9_44;38.05475368301298
9_45;37.62313185977895
9_46;48.51806611300964
9_47;13.252132980259079
9_48;40.59072328673899
9_49;32.160178724290176
9_50;29.553546019260903
10_1;52.654564316474946
10_2;39.28744747351461
10_3;44.22123189822006
10_4;23.01147751675167
10_5;49.50218856776621
10_6;36.02498572294325
10_7;44.65084546738353
10_8;45.774429317395345
10_9;38.16827616932558
10_10;16.376854696207126
10_11;45.294543909921664
10_12;49.89744664765087
10_13;52.42846422115316
10_14;51.92571465398153
10_15;52.44758629252083
10_16;43.958534179028256
10_17;45.43303548061797
10_18;30.08776654929008
10_19;29.539987185877564
10_20;51.96565521009328
10_21;36.44636046096623
10_22;18.89404525332908
10_23;41.584147949403246
10_24;45.0854703165026
10_25;24.584710700528596
10_26;35.88565218237264
10_27;48.95139370484088
10_28;43.8737789967546
10_29;50.10510448431832
10_30;45.8405457813773
10_31;35.30314000244133
10_32;39.537041646736604
10_33;47.67133754970581
10_34;51.61014122668303
10_35;36.326545029444915
10_36;52.326386288317316
10_37;44.44107958762337
10_38;14.899924155609668
10_39;39.77147100700017
10_40;52.754699481786005
10_41;49.01051246364525
10_42;22.614310971818586
10_43;40.78769746122352
10_44;51.261590645974024
10_45;14.675339606061641
10_46;22.9733955311773
10_47;48.39833799688268
